學打桌球,2024-06-07,2024-07-31,0,暫無備註
找尋桌球場地,2024-06-07,2024-06-14,0,暫無備註
購買桌球拍,2024-06-07,2024-06-14,0,暫無備註
尋找教練指導,2024-06-15,2024-06-21,0,暫無備註
練習基本擊球技巧,2024-06-15,2024-06-30,0,暫無備註
練習發球技巧,2024-06-15,2024-06-30,0,暫無備註
練習接發球技巧,2024-07-01,2024-07-15,0,暫無備註
練習截擊技巧,2024-07-01,2024-07-15,0,暫無備註
參加打桌球比賽,2024-07-16,2024-07-31,0,暫無備註
Design project,2024-06-02,2024-06-04,0,Create project outline
Implement basic functionality,2024-06-05,2024-06-09,0,Create class structure
Add user interface,2024-06-10,2024-06-12,0,Design UI elements
Integrate database,2024-06-13,2024-06-16,0,Connect to database
Implement advanced features,2024-06-17,2024-06-20,0,Add additional functionality
Perform testing,2024-06-21,2024-06-23,0,Test all features
Debugging and optimization,2024-06-24,2024-06-26,0,Fix any issues and optimize code
Finalize project,2024-06-27,2024-06-29,0,Prepare for submission
Java期末專案,2024-06-05,2024-06-06,100,快死辣
